"INSTALACIONES AUTORIZADAS PARA EL ALMACENAMIENTO, TRATAMIENTO, APROVECHAMIENTO, Y/O DISPOSICIÓN FINAL DE RESIDUOS PELIGROSOS Y/O DE APARATOS ELÉCTRICOS Y ELECTRÓNICOS (RAEE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Información registrada por las Autoridades Ambientales y consolidada por el IDEAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTA: La presente consulta corresponde al estado de los gestores reportados por la Autoridad ambiental a la fecha de 02/09/2025, 4:26:54 pm Si requiere mayor información, por favor comuníquese con la Autoridad ambiental respectiva de la jurisdicción.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Registros : 299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFORMACIÓN SEDES GESTORAS,,,,,,,,,,,,,,INFORMACIÓN CONTACTO SEDES GESTORAS,,,RESPEL: AUTORIZADO PARA,,,,,,,RAEE: AUTORIZADO PARA,,,,,,,AUTORIZACIÓN AMBIENTAL,,,,
Nro.,Departamento,Municipio,Autoridad,NIT o Número de Identificación,Empresa,Nombre Establecimiento,Estado,Desde,Dirección,Teléfono,Latitud,Longitud,Email Representante,Nombre(s) y Apellido(s),Teléfono,Email,Almacenamiento,Tratamiento,Subgestión,Aprovechamiento,Subgestión,Disposición Final,Subgestión,Almacenamiento,Tratamiento,Subgestión,Aprovechamiento,Subgestión,Disposición Final,Subgestión,Acto Administrativo Nro.,Fecha Otorgamiento,Vigencia,Tiene adjunto soporte,Nro. de archivos
11,ANTIOQUIA,BELLO,CORANTIOQUIA,8110244521,A RECONSTRUIR S.A.S,A RECONSTRUIR S.A.S,Activo,11/05/2018,VEREDA GRANIZAL PARQUE INDUSTRIAL CROACIA,4532183 -,'6.319265430467233','-75.53426742553712',gabrieljaime@areconstruir.co,GABRIEL JAIME ALVAREZ LONDO?O,3113728947 -,gabrieljaime@areconstruir.co,"Y12-Desechos resultantes de la producción, preparación y utilización de tintas, colorantes, pigmentos, pinturas, lacas o barnices.::Y6-Desechos resultantes de la producción, la preparación y la utilización de disolventes orgánicos.::Y9-Mezclas y emulsiones de desechos de aceite y agua o de hidrocarburos y agua.::Y11-Residuos alquitranados resultantes de la refinación, destilación o cualquier otro tratamiento pirolítico.::",NO,NO,"A4130-Envases y contenedores de desechos que contienen sustancias incluidas en el Anexo I, en concentraciones suficientes como para mostrar las características peligrosas del Anexo III.::",R7-Recuperación de componentes utilizados para reducir la contaminación::,NO,NO,NO,NO,NO,NO,NO,NO,NO,11122,11/05/2018,,SI,1
12,ANTIOQUIA,BELLO,CORANTIOQUIA,811040768,ACUMULADORES DE ORIENTE -ACOR LTDA,ACUMULADORES DE ORIENTE,Activo,13/10/2011,"Kilometro 3,5 de la autopista Medelli-Bogota",4818980 -,'6.319393394223448','-75.5319929122925',acor.ltda@hotmail.com,JUAN GUILLEMO ALZATE ECHEVERRI,4818980 -,acor.ltda@hotmail.com,"Y31-Desechos que tengan como constituyentes: Plomo, compuestos de plomo.::",NO,NO,"Y31-Desechos que tengan como constituyentes: Plomo, compuestos de plomo.::A1160-Acumuladores de plomo de desecho, enteros o triturados.::","R4-Reciclado o recuperación de metales y compuestos metálicos (ej. refinación, pirometalurgia, hidrometalurgia).::",NO,NO,NO,NO,NO,NO,NO,NO,NO,11102050,26/07/2014,,SI,1
13,ANTIOQUIA,BELLO,AMVA,811041497,ASCRUDOS S.A.S,ASCRUDOS S.A.S,Activo,09/12/2005,DIAGONAL 44 # 36 - 43,4823105 -,'6.336728799999999','-75.5595887',gerencia@ascrudos.com,LUZ MARINA ORTEGA ROJAS,4823105 -,gerencia@ascrudos.com,"Y9-Mezclas y emulsiones de desechos de aceite y agua o de hidrocarburos y agua.::Y8.1-Aceite lubricante usado (ej. aceite lubricante mineral, sintético, hidráulico usado)::Y26-Desechos que tengan como constituyentes: Cadmio, compuestos de cadmio.::Y27-Desechos que tengan como constituyentes: Antimonio, compuestos de antimonio.::Y8.2-Elementos o materiales contaminados con aceite lubricante usado (ej. EPP, estopas, trapos, filtros, cauchos, aserrín, plásticos, grasas minerales, tapas casing)::Y29-Desechos que tengan como constituyentes: Mercurio, compuestos de mercurio.::Y29.1-Desechos que constan de mercurio o compuestos de mercurio (Ej. mercurio metálico, desechos de cloruro de mercurio, sulfuro de mercurio)::Y29.2-Desechos que contienen mercurio o compuestos de mercurio (ej. Lámparas fluorescentes compactas o lineales, lámparas de vapor de mercurio, amalgama dental, termómetros de mercurio, manómetros no electrónicos).::Y31-Desechos que tengan como constituyentes: Plomo, compuestos de plomo.::A1160-Acumuladores de plomo de desecho, enteros o triturados.::",NO,NO,"Y8.1-Aceite lubricante usado (ej. aceite lubricante mineral, sintético, hidráulico usado)::Y36-Desechos que tengan como constituyente Asbesto (polvo y fibras).::",R9-Regeneración u otra reutilización de aceites usados (ej. re-refinación)::,NO,NO,"1.10-Refrigeración doméstica y comercial::1.3-Enseres mayores de hogar::2.2-Circuitos Electrónicos::2.4-Computadores y equipos para tratamiento de datos::1.4-Enseres menores de calentamiento::2.10-Periféricos, partes y tarjetas para computadores e impresoras::3.4-Equipos de iluminación::3.11-Pilas y acumuladores::",NO,NO,NO,NO,NO,NO,1200,09/12/2005,,SI,2
14,ANTIOQUIA,BELLO,AMVA,800012259,COMERPA DE MEDELLIN S.A.S,COMERPA DE MEDELLIN S.A.S,Activo,28/05/2009,DIAGONAL 50 A # 42 B 217,2728585 -,'6.336728799999999','-75.5595887',COMERPALTDA@HOTMAIL.COM,HERNAN PATINO HOYOS,2728585 -,COMERPALTDA@HOTMAIL.COM,NO,NO,NO,"Y6-Desechos resultantes de la producción, la preparación y la utilización de disolventes orgánicos.::",R2-Recuperación o regeneración de disolventes (ej. destilación)::,NO,NO,NO,NO,NO,NO,NO,NO,NO,607,28/05/2009,,SI,1
15,ANTIOQUIA,BELLO,CORANTIOQUIA,8110327671,CONSORCIO AMBIENTAL,CONSORCIO AMBIENTAL COAMBIENTAL ESP SA,Activo,21/06/2010,Autopista Medellin Bogota Km 2400,4536565 -,'6.323445472547436','-75.54158959705775',coambiental@une.net.co,CARLOS ALBERTO GRACIANO GOMEZ,3227892300 -,coambiental@une.net.co,NO,"Y1-Desechos clínicos resultantes de la atención médica prestada en hospitales, centros médicos y clínicas.::",Térmico: Incineración::,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,10555,21/06/2010,,SI,1
16,ANTIOQUIA,BELLO,CORANTIOQUIA,900024398,ECOLOGISTICA SOCIEDAD POR ACCIONES SIMPLES - EMPRESA DE SERVICIOS PÚBLICOS,ECOLOGISTICA S.A.S. E.S.P,Activo,04/10/2021,KM 3 7 AUT MEDELLIN BOGOTA PAR INDUSTRIAL CROACIA,4486006 -,'6.315467996','-75.538665703',proyestos@ecologistica.com.co,Jimmy Julio Sotelo,4486006 -,direccioncomercial@ecologistica.com.co,"Y8-Desechos de aceites minerales no aptos para el uso a que estaban destinados.::Y11-Residuos alquitranados resultantes de la refinación, destilación o cualquier otro tratamiento pirolítico.::Y12-Desechos resultantes de la producción, preparación y utilización de tintas, colorantes, pigmentos, pinturas, lacas o barnices.::Y13-Desechos resultantes de la producción, preparación y utilización de resinas, látex, plastificantes o colas y adhesivos.::Y1-Desechos clínicos resultantes de la atención médica prestada en hospitales, centros médicos y clínicas.::Y6-Desechos resultantes de la producción, la preparación y la utilización de disolventes orgánicos.::Y16-Desechos resultantes de la producción, preparación y utilización de productos químicos y materiales para fines fotográficos.::Y17-Desechos resultantes del tratamiento de superficie de metales y plásticos.::Y18-Residuos resultantes de las operaciones de eliminación de desechos industriales.::Y36-Desechos que tengan como constituyente Asbesto (polvo y fibras).::Y40-Desechos que tengan como constituyentes: Éteres.::Y41-Desechos que tengan como constituyentes: Solventes orgánicos halogenados.::Y42-Desechos que tengan como constituyentes: Disolventes orgánicos, con exclusión de disolventes halogenados.::A1160-Acumuladores de plomo de desecho, enteros o triturados.::A1170-Acumuladores de desecho sin seleccionar excluidas mezclas de acumuladores sólo de la lista B. Los acumuladores de desecho no incluidos en la lista B que contengan constituyentes del Anexo I en tal grado que los conviertan en peligrosos.::A3010-Desechos resultantes de la producción o el tratamiento de coque de petróleo y asfalto.::A3020-Aceites minerales de desecho no aptos para el uso al que estaban destinados.::A3030-Desechos que contengan, estén integrados o estén contaminados por lodos de compuestos antidetonantes con plomo.::A3040-Desechos de líquidos térmicos (transferencia de calor).::A3050-Desechos resultantes de la producción, preparación y utilización de resinas, látex, plastificantes o colas/adhesivos excepto los desechos especificados en la lista B (véase el apartado correspondiente en la lista B B4020).::A3060-Nitrocelulosa de desecho.::A3080-Desechos de éteres excepto los especificados en la lista B.::A3140-Desechos de disolventes orgánicos no halogenados pero con exclusión de los desechos especificados en la lista B.::A3150-Desechos de disolventes orgánicos halogenados.::A3160-Desechos resultantes de residuos no acuosos de destilación halogenados o no halogenados derivados de operaciones de recuperación de disolventes orgánicos.::A3190-Desechos de residuos alquitranados (con exclusión de los cementos asfálticos) resultantes de la refinación, destilación o cualquier otro tratamiento pirolítico de materiales orgánicos.::A3200-Material bituminoso (desechos de asfalto) con contenido de alquitrán resultantes de la construcción y el mantenimiento de carreteras (obsérvese el artículo correspondiente B2130 de la lista B).::A4060-Desechos de mezclas y emulsiones de aceite y agua o de hidrocarburos y agua.::A4070-Desechos resultantes de la producción, preparación y utilización de tintas, colorantes, pigmentos, pinturas, lacas o barnices, con exclusión de los desechos especificados en la lista B (véase el apartado correspondiente de la lista B B4010).::A4090-Desechos de soluciones ácidas o básicas, distintas de las especificadas en el apartado correspondiente de la lista B (véase el apartado correspondiente de la lista B B2120).::","Y1-Desechos clínicos resultantes de la atención médica prestada en hospitales, centros médicos y clínicas.::Y6-Desechos resultantes de la producción, la preparación y la utilización de disolventes orgánicos.::Y9-Mezclas y emulsiones de desechos de aceite y agua o de hidrocarburos y agua.::Y29.2-Desechos que contienen mercurio o compuestos de mercurio (ej. Lámparas fluorescentes compactas o lineales, lámparas de vapor de mercurio, amalgama dental, termómetros de mercurio, manómetros no electrónicos).::","Físico-químico (ej: evaporación, secado, neutralización, precipitación)::Térmico: Autoclavado::",Y8-Desechos de aceites minerales no aptos para el uso a que estaban destinados.::Y9-Mezclas y emulsiones de desechos de aceite y agua o de hidrocarburos y agua.::,R7-Recuperación de componentes utilizados para reducir la contaminación::R1-Utilización como combustible (diferente a la incineración) u otros medios de generar energía.::,NO,NO,NO,NO,NO,NO,NO,NO,NO,18116388,19/11/2018,18/11/2038,SI,2
17,ANTIOQUIA,BELLO,AMVA,811038116,MAXIPETROL S.A.S,MAXIPETROL S.A.S,Activo,04/03/2015,AVENIDA15 A # 51-80,0 -,'6.343357381294009','-75.52583791315556',maxipetroleu@hotmail.com​,JAIRO DE JESUS GONZALEZ OCHOA,0 -,maxipetroleu@hotmail.com​,"Y8.1-Aceite lubricante usado (ej. aceite lubricante mineral, sintético, hidráulico usado)::Y9-Mezclas y emulsiones de desechos de aceite y agua o de hidrocarburos y agua.::","Y8.1-Aceite lubricante usado (ej. aceite lubricante mineral, sintético, hidráulico usado)::Y9-Mezclas y emulsiones de desechos de aceite y agua o de hidrocarburos y agua.::","Físico-químico (ej: evaporación, secado, neutralización, precipitación)::",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,361,04/03/2015,,SI,1
18,ANTIOQUIA,CAREPA,CORPOURABA,21829132,AMPARO DEL SOCORRO ALZATE,RECICLADORA CAREPA,Activo,11/08/2011,SECTOR ARINCO,3137456469 -,'7.761020551919594','-76.65715684780451',recicladoracarepa@hotmail.com,AMPARO ALZATE,3137456469 -,recicladoracarepa@hotmail.com,Y4.4-Residuos de bolsas plásticas impregnadas de plaguicidas o biocidas (ej. residuos de bolsas utilizadas en cultivos de plátano y banano)::,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,931,11/08/2011,,SI,2
19,ANTIOQUIA,CAREPA,CORPOURABA,3394520,HERNÁN DE JESÚS MOLINA CORREA,RECICLADORA MOLINA,Activo,15/09/2000,SECTOR ARINCO,3104304862 -,'7.762592064094788','-76.65724321447641',jorgenmolina12@hotmail.com,HERNAN MOLINA,3104304862 -,jorgenmolina12@hotmail.com,"Y4-Desechos resultantes de la producción, la preparación y la utilización de biocidas y productos fitofarmacéuticos.::Y37-Desechos que tengan como constituyentes: Compuestos orgánicos de fósforo.::A4130-Envases y contenedores de desechos que contienen sustancias incluidas en el Anexo I, en concentraciones suficientes como para mostrar las características peligrosas del Anexo III.::",NO,NO,"Y4-Desechos resultantes de la producción, la preparación y la utilización de biocidas y productos fitofarmacéuticos.::Y37-Desechos que tengan como constituyentes: Compuestos orgánicos de fósforo.::A4130-Envases y contenedores de desechos que contienen sustancias incluidas en el Anexo I, en concentraciones suficientes como para mostrar las características peligrosas del Anexo III.::",R7-Recuperación de componentes utilizados para reducir la contaminación::,NO,NO,NO,NO,NO,NO,NO,NO,NO,570,16/05/2017,,SI,2
20,ANTIOQUIA,CAREPA,CORPOURABA,901386310,RECOTRANSFORMA S.A.S ZOMAC,RECOTRANSFORMA S.A.S ZOMAC,Activo,30/10/2020,VEREDA CABANA PEREZ,3104522555 -,'7.793794985378219','-76.67144272337737',info@recotransforma.com,LAURA ALEJANDRA CARO,3104522508 -,info@recotransforma.com,"Y4.4-Residuos de bolsas plásticas impregnadas de plaguicidas o biocidas (ej. residuos de bolsas utilizadas en cultivos de plátano y banano)::Y4.5-Envases, recipientes, canecas, bidones o contenedores que contienen o que están contaminados con plaguicidas, biocidas o productos fitofarmacéuticos::",NO,NO,"Y4.4-Residuos de bolsas plásticas impregnadas de plaguicidas o biocidas (ej. residuos de bolsas utilizadas en cultivos de plátano y banano)::Y4.5-Envases, recipientes, canecas, bidones o contenedores que contienen o que están contaminados con plaguicidas, biocidas o productos fitofarmacéuticos::",R7-Recuperación de componentes utilizados para reducir la contaminación::,NO,NO,NO,NO,NO,NO,NO,NO,NO,1286,30/10/2020,,SI,3
21,ANTIOQUIA,CAREPA,CORPOURABA,71180068,RECUPERADORA CAYETORRES,RECUPERADORA CAYETORRES,Activo,17/05/2016,SECTOR CABANA PEREZ,3116178737 -,'7.795268633466982','-76.67080776657684',cayetorres@hotmail.com,CARLOS YEPES TORRES,3116178737 -,cayetorres@hotmail.com,Y4.4-Residuos de bolsas plásticas impregnadas de plaguicidas o biocidas (ej. residuos de bolsas utilizadas en cultivos de plátano y banano)::,NO,NO,Y4.4-Residuos de bolsas plásticas impregnadas de plaguicidas o biocidas (ej. residuos de bolsas utilizadas en cultivos de plátano y banano)::,R7-Recuperación de componentes utilizados para reducir la contaminación::,NO,NO,NO,NO,NO,NO,NO,NO,NO,543,17/05/2016,,SI,1
22,ANTIOQUIA,CHIGORODO,CORPOURABA,901066022,URAGREEN S.A.S,URAGREEN S.A.S,Activo,08/06/2018,KM 1 VIA A MEDELLIN,3135743420 -,'7.658728207809787','-76.66893493391211',jorgehmolina12@hotmail.com,JORGE HERNAN MOLINA,3135743420 -,jorgehmolina12@hotmail.com,Y4.4-Residuos de bolsas plásticas impregnadas de plaguicidas o biocidas (ej. residuos de bolsas utilizadas en cultivos de plátano y banano)::,NO,NO,Y4.4-Residuos de bolsas plásticas impregnadas de plaguicidas o biocidas (ej. residuos de bolsas utilizadas en cultivos de plátano y banano)::,R7-Recuperación de componentes utilizados para reducir la contaminación::,NO,NO,NO,NO,NO,NO,NO,NO,NO,986,08/06/2018,,SI,1
23,ANTIOQUIA,COPACABANA,AMVA,800126239,DISOLVENTES DE ANTIOQUIA Y CIA,DISOLVAN,Activo,12/08/2016,Calle 56 # 42 228,6044011121 -,'6.35090350379286','-75.5062723158699',disolvansas@disolvan.com.co,MIGUEL PAJON,6044011121 -,disolvansas@disolvan.com.co,"Y6-Desechos resultantes de la producción, la preparación y la utilización de disolventes orgánicos.::Y8.1-Aceite lubricante usado (ej. aceite lubricante mineral, sintético, hidráulico usado)::Y9-Mezclas y emulsiones de desechos de aceite y agua o de hidrocarburos y agua.::",NO,NO,"Y6-Desechos resultantes de la producción, la preparación y la utilización de disolventes orgánicos.::Y8.1-Aceite lubricante usado (ej. aceite lubricante mineral, sintético, hidráulico usado)::Y9-Mezclas y emulsiones de desechos de aceite y agua o de hidrocarburos y agua.::",R9-Regeneración u otra reutilización de aceites usados (ej. re-refinación)::R2-Recuperación o regeneración de disolventes (ej. destilación)::,NO,NO,NO,NO,NO,NO,NO,NO,NO,1483,12/07/2016,,SI,1
